W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,
W,_,_,_,_,_,M,_,_,_,_,_,_,_,W,
W,_,_,_,H,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,B,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,B,B,B,B,B,B,B,B,B,B,B,B,B,W,
W,F,F,F,F,F,F,F,F,F,F,F,F,F,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,+,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
W,_,_,_,_,_,_,_,_,_,_,_,_,_,W,
